Instances,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,CASA,,,,HHSA,,,,ACTS,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
aaed2000,,135,141.7,44.0643999999999,,210,228.55,2623.3365,,213,228.87,3264.8303,,251,271.97,1855.4581,,-,-,-,,-,-,-,,-,-,-
adder,,100,108.89,33.2775,,169,187.5,1528.72089999999,,170,188.15,1315.3978,,206,226.36,972.313199999999,,-,-,-,,-,-,-,,-,-,-
adderII,,101,109.16,33.3734999999999,,166,183.67,1605.7187,,164,183.82,1266.5574,,203,219.82,948.988299999999,,-,-,-,,-,-,-,,-,-,-
aeb,,98,104.16,29.0974999999999,,162,176.78,1504.98009999999,,160,177.09,1240.1652,,194,212.5,835.3267,,-,-,-,,-,-,-,,-,-,-
aim711,,105,109.48,32.7459,,171,187.05,1582.73029999999,,170,187.22,1405.53249999999,,201,224.86,965.2056,,-,-,-,,-,-,-,,-,-,-
aki3068net,,103,108.39,29.6819,,170,183.91,1476.08139999999,,169,184.09,1240.34529999999,,201,221.46,837.132599999999,,-,-,-,,-,-,-,,-,-,-
am31_sim,,93,98.95,25.3012,,139,153.06,1411.4864,,139,153.25,1116.9173,,165,185.47,697.597599999999,,160,180.05,3422.19494949495,,-,-,-,,-,-,-
asb,,95,102.22,29.5292999999999,,151,163.11,1462.67709999999,,152,163.39,1164.53,,184,200.01,853.276899999999,,-,-,-,,-,-,-,,-,-,-
asb2305,,97,102.7,29.9964,,150,164.59,1273.57249999999,,149,164.91,1155.1732,,181,200.26,850.412599999999,,-,-,-,,-,-,-,,-,-,-
assabet,,97,104.04,31.5794,,164,175.76,1566.8366,,165,175.86,1403.93909999999,,189,210.24,953.7721,,-,-,-,,-,-,-,,-,-,-
at91sam7sek,,98,104.1,32.9647,,154,170.23,1484.51229999999,,156,170.25,1482.86879999999,,187,204.13,958.2872,,-,-,-,,-,-,-,,-,-,-
at91sam7xek,,104,110.39,36.0616,,172,186.47,1629.6975,,171,186.66,1567.6206,,204,224.49,1085.48909999999,,-,-,-,,-,-,-,,-,-,-
atlas_mips32_4kc,,102,108.3,30.3488,,168,182.05,1422.756,,167,182.36,1241.82619999999,,194,219.37,852.4663,,-,-,-,,-,-,-,,-,-,-
atlas_mips64_5kc,,102,108.13,29.6654999999999,,168,182.85,1455.1873,,169,183.12,1083.6462,,198,219.84,833.3407,,-,-,-,,-,-,-,,-,-,-
axtls,,32,34.31,0.0827999999999999,,32,39.55,1319.0294,,33,39.3,592.546299999999,,35,38.51,514.1439,,27,30.86,68.5382999999999,,-,-,-,,36,36,31.846947368421
brutus,,95,101.29,28.7512,,153,166.18,1434.8748,,154,166.55,1199.17459999999,,182,199.12,841.512599999999,,-,-,-,,-,-,-,,-,-,-
buildroot,,28,30.23,2.01459999999999,,15,15.01,74.297,,15,15.5,1039.9639,,15,15,128.234,,16,18.03,392.719599999999,,-,-,-,,-,-,-
busybox_1_28_0,,54,58.12,11.5686,,95,111.18,611.188399999999,,95,111.37,567.298399999999,,125,137.77,512.7757,,99,110.95,3224.2495,,-,-,-,,-,-,-
calm16_ceb,,95,101.26,26.6909,,148,161.88,1261.4531,,148,162.16,1125.35219999999,,176,195.85,742.7451,,170,198.59,3550.75280487804,,-,-,-,,-,-,-
calm32_ceb,,95,101.84,26.4876,,147,162.37,1297.129,,147,162.57,1137.8518,,172,195.78,743.368899999999,,179,203.57,3545.15244444444,,-,-,-,,-,-,-
ceb_v850,,96,101.13,27.0957,,150,163.58,1350.05209999999,,150,163.84,1030.33129999999,,181,196.78,784.7246,,179,206.2,3579.012,,-,-,-,,-,-,-
cerf,,104,111.73,34.4696,,182,194.63,1640.3377,,179,194.87,1497.7774,,211,232.21,982.1327,,-,-,-,,-,-,-,,-,-,-
cerfpda,,106,112.44,35.0850999999999,,177,195.75,1598.8775,,179,195.86,1489.5762,,211,233.63,1045.45819999999,,-,-,-,,-,-,-,,-,-,-
cma230,,96,101.09,28.1259999999999,,152,169.8,1462.9744,,153,169.92,1316.1721,,183,202.96,823.4488,,-,-,-,,-,-,-,,-,-,-
cma28x,,93,100.19,27.4302,,146,164.96,1467.3857,,148,165.13,1110.9859,,183,197.92,791.4077,,-,-,-,,-,-,-,,-,-,-
cme555,,95,102.14,31.2783999999999,,150,165.24,1504.6365,,151,165.75,1291.69979999999,,178,199.58,890.188,,-,-,-,,-,-,-,,-,-,-
cq7708,,114,121.1,35.2015999999999,,171,193.57,2184.45229999999,,173,193.7,2618.2598,,213,231.19,1322.7941,,-,-,-,,-,-,-,,-,-,-
cq7750,,100,106.29,32.3034,,153,168.23,1417.4428,,152,168.67,1186.4869,,186,203.58,882.419899999999,,-,-,-,,-,-,-,,-,-,-
csb281,,106,112.59,32.5752999999999,,159,180.01,1512.4368,,160,180.35,1235.0322,,192,216.07,907.003399999999,,-,-,-,,-,-,-,,-,-,-
dreamcast,,108,113.52,33.4090999999999,,172,188.47,1589.6741,,172,188.75,1195.1772,,199,226.71,918.305899999999,,-,-,-,,-,-,-,,-,-,-
e7t,,103,110.17,32.8672,,163,177.6,1732.2298,,163,177.6,1543.1396,,200,218.47,937.2786,,-,-,-,,-,-,-,,-,-,-
ea2468,,102,109.94,40.1466,,170,187.69,1679.0488,,170,187.76,1589.3356,,206,223.86,1182.9188,,-,-,-,,-,-,-,,-,-,-
eb40,,98,102.94,30.0732999999999,,153,168.47,1406.7548,,153,168.82,1344.59879999999,,182,202.74,879.260599999999,,-,-,-,,-,-,-,,-,-,-
eb40a,,96,102.81,30.0114,,149,169.06,1426.4515,,147,169.11,1340.8963,,181,203.75,861.104899999999,,-,-,-,,-,-,-,,-,-,-
eb42,,96,101.96,29.7691,,152,164.02,1494.28769999999,,152,164.32,1257.5879,,179,197.51,850.524599999999,,-,-,-,,-,-,-,,-,-,-
eb55,,98,103.63,31.506,,149,168.48,1395.32379999999,,151,168.88,1439.7302,,183,202.95,951.598699999999,,-,-,-,,-,-,-,,-,-,-
ebsa285,,109,114.37,33.3718,,185,201.27,1695.15299999999,,186,201.54,1364.7987,,224,243.33,954.3368,,-,-,-,,-,-,-,,-,-,-
ec555,,95,102.07,30.7834,,152,165.68,1393.8197,,154,165.82,1275.5501,,185,200.8,899.142699999999,,-,-,-,,-,-,-,,-,-,-
ecos-icse11,,103,108.22,31.0392,,260,286.7,1662.2233,,260,287.23,1962.3207,,328,366.92,927.752599999999,,-,-,-,,-,-,-,,-,-,-
edb7xxx,,102,108.54,31.8999999999999,,173,186.9,1622.19569999999,,176,186.85,1379.5575,,210,226.89,918.403999999999,,-,-,-,,-,-,-,,-,-,-
edosk2674,,101,106.9,29.1939,,159,176.49,1284.11269999999,,159,176.6,1162.78049999999,,194,213.82,798.376199999999,,-,-,-,,-,-,-,,-,-,-
embtoolkit,,1107,1119.48,891.9397,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-
excalibur_arm9,,118,125.25,35.5867,,182,205.74,1912.88139999999,,183,205.81,2609.3591,,217,245,1296.18549999999,,-,-,-,,-,-,-,,-,-,-
fads,,93,99.21,26.5722,,140,156.49,1298.9821,,137,156.88,1007.8405,,174,189.62,741.4886,,160,173.29,3559.41263157894,,-,-,-,,-,-,-
financial,,4421,4433.91,544.3052,,5292,5351.01,2951.9592,,5292,5351.04,2904.89099999999,,5293,5352.04,2743.30709999999,,-,-,-,,-,-,-,,-,-,-
flexanet,,105,111.24,33.6114,,172,195.3,1659.8822,,172,195.38,1453.90159999999,,215,233.88,972.4376,,-,-,-,,-,-,-,,-,-,-
freebsd-icse11,,116,121.33,43.9353999999999,,164,184.02,3478.9665,,173,188.62,3552.3804,,211,232.44,2821.5027,,-,-,-,,-,-,-,,-,-,-
frv400,,101,107.59,31.2936,,164,177.17,1280.2341,,164,177.28,1331.5493,,196,215.99,907.445999999999,,-,-,-,,-,-,-,,-,-,-
gps4020,,98,102.49,28.5757,,155,171.28,1554.1589,,157,171.4,1236.1463,,179,206.06,813.5899,,-,-,-,,-,-,-,,-,-,-
grg,,101,107.21,31.1666,,167,180.27,1459.149,,166,180.4,1334.25,,194,215.61,908.291699999999,,-,-,-,,-,-,-,,-,-,-
h8300h_sim,,94,99.54,26.5800999999999,,141,153.27,1375.8382,,140,153.56,1060.3347,,165,185.73,737.646,,159,171.17,3546.45055555555,,-,-,-,,-,-,-
h8max,,102,108.07,29.8382999999999,,163,182.41,1496.93479999999,,164,182.8,1178.3999,,192,219.1,801.222499999999,,-,-,-,,-,-,-,,-,-,-
h8s_sim,,93,99.28,26.4752999999999,,141,153.99,1337.37159999999,,142,154.26,1065.6434,,167,186.02,736.282099999999,,159,175.85,3548.5245,,-,-,-,,-,-,-
hs7729pci,,133,140.22,43.9913,,210,230.06,2250.8363,,213,230.19,3062.04799999999,,255,274.15,1549.56989999999,,-,-,-,,-,-,-,,-,-,-
innovator,,134,140.95,41.171,,204,225.73,2454.6682,,206,225.92,2988.0438,,255,270.43,1556.8068,,-,-,-,,-,-,-,,-,-,-
integrator_arm7,,104,109.11,32.9248,,164,176.89,1541.9493,,165,177.43,1446.6094,,190,214.59,925.9411,,-,-,-,,-,-,-,,-,-,-
integrator_arm9,,116,122.19,36.9415999999999,,197,213.56,2445.3511,,196,213.7,3143.43459999999,,233,256.05,1682.01239999999,,-,-,-,,-,-,-,,-,-,-
ipaq,,98,103.5,30.7691,,159,174.06,1499.99899999999,,159,174.33,1381.5382,,192,207.68,927.3974,,-,-,-,,-,-,-,,-,-,-
iq80310,,103,106.99,32.0042,,165,182.58,1496.9314,,166,182.69,1412.89859999999,,203,220.48,946.988499999999,,-,-,-,,-,-,-,,-,-,-
iq80321,,101,107.12,31.9463999999999,,164,176.15,1551.60979999999,,163,176.36,1364.6213,,193,212.65,958.7046,,-,-,-,,-,-,-,,-,-,-
ixdp425,,100,107.25,31.5871,,167,185.67,1744.257,,166,186.08,1343.2953,,206,224.77,925.907199999999,,-,-,-,,-,-,-,,-,-,-
jmr3904,,95,102.16,27.6968,,148,165.3,1473.6049,,149,165.48,1098.4496,,180,199.89,785.774799999999,,-,-,-,,-,-,-,,-,-,-
jtst,,97,103,29.7612,,154,168.35,1508.9054,,155,168.48,1348.7413,,182,203.14,885.9434,,-,-,-,,-,-,-,,-,-,-
linux,,110,115.87,33.3232999999999,,178,198.78,1585.5083,,178,199,1143.55239999999,,222,237.6,894.759899999999,,-,-,-,,-,-,-,,-,-,-
lpcmt,,95,102.86,30.4619,,151,169.93,1397.04369999999,,153,170.38,1337.7912,,178,204.06,898.698299999999,,-,-,-,,-,-,-,,-,-,-
m5272c3,,105,112.86,37.2439,,170,186.1,1563.0915,,169,186.18,1483.27149999999,,204,225.96,1081.08249999999,,-,-,-,,-,-,-,,-,-,-
mac7100evb,,93,101.29,29.3036,,150,163.47,1402.568,,148,163.41,1351.521,,179,197.22,860.202299999999,,-,-,-,,-,-,-,,-,-,-
mace1,,96,101.3,29.2073999999999,,147,163.08,1388.1199,,145,163.35,1297.78869999999,,179,197.93,832.5483,,-,-,-,,-,-,-,,-,-,-
malta_mips32_4kc,,101,110.42,31.798,,161,180.39,1624.0898,,161,180.62,1199.58339999999,,196,217.95,890.1606,,-,-,-,,-,-,-,,-,-,-
malta_mips64_5kc,,104,110.21,31.3122,,167,180.92,1402.6099,,166,181.19,1222.0178,,192,218.32,880.424699999999,,-,-,-,,-,-,-,,-,-,-
mb93091,,102,107.42,31.4568,,162,176.81,1425.0839,,161,177.16,1267.6017,,198,215.03,914.926499999999,,-,-,-,,-,-,-,,-,-,-
mb93093,,101,106.94,30.6857,,158,172.45,1250.10759999999,,157,172.42,1221.361,,186,210.46,866.851399999999,,-,-,-,,-,-,-,,-,-,-
mbx,,100,108.4,34.5325,,166,179.68,1644.1957,,166,179.75,1337.4283,,196,216.17,1022.37769999999,,-,-,-,,-,-,-,,-,-,-
mcb2100,,96,102.97,30.3906999999999,,156,170.77,1514.402,,156,170.77,1457.78819999999,,190,205.39,875.835399999999,,-,-,-,,-,-,-,,-,-,-
moab,,108,113.37,34.8088,,174,188.64,1570.22949999999,,174,188.75,1323.26789999999,,209,227.56,992.9248,,-,-,-,,-,-,-,,-,-,-
mpc50,,96,100.97,28.202,,141,160.01,1260.3252,,145,160.15,1220.159,,177,193.85,819.193099999999,,-,-,-,,-,-,-,,-,-,-
nano,,109,115.21,34.8002,,184,200.59,1693.2435,,184,200.89,1597.13179999999,,222,241.11,992.0571,,-,-,-,,-,-,-,,-,-,-
npwr,,102,107.75,31.918,,163,177.37,1420.4735,,163,177.71,1331.95339999999,,193,213.43,953.9374,,-,-,-,,-,-,-,,-,-,-
ocelot,,103,107.63,32.1892999999999,,163,181.75,1618.53529999999,,165,181.87,1274.91079999999,,198,221.31,926.075,,-,-,-,,-,-,-,,-,-,-
olpce2294,,105,110.8,34.015,,174,186.44,1412.43249999999,,174,186.75,1492.95809999999,,210,225.43,975.1517,,-,-,-,,-,-,-,,-,-,-
olpch2294,,96,103.53,31.0893,,154,171.89,1529.84339999999,,153,172.04,1444.58889999999,,185,207.49,910.043099999999,,-,-,-,,-,-,-,,-,-,-
olpcl2294,,104,110.79,34.126,,169,186.73,1463.30789999999,,169,186.93,1479.0075,,204,225.59,1007.7964,,-,-,-,,-,-,-,,-,-,-
p2106,,97,102.44,30.3015,,156,169.4,1421.70699999999,,155,169.5,1426.79799999999,,182,203.84,901.847199999999,,-,-,-,,-,-,-,,-,-,-
pati,,96,101.92,29.9187,,151,165.98,1395.52259999999,,152,166.38,1284.3687,,176,200.55,888.2878,,-,-,-,,-,-,-,,-,-,-
pc_i82544,,106,111.18,33.1489,,169,188.16,1561.1462,,168,188.65,1189.4559,,204,225.7,940.945499999999,,-,-,-,,-,-,-,,-,-,-
pc_i82559,,104,111.37,33.0291,,176,192.9,1642.71539999999,,178,193.26,1265.99609999999,,213,230.94,942.7429,,-,-,-,,-,-,-,,-,-,-
pc_rltk8139,,111,117.05,34.5749,,176,196.32,1587.76539999999,,175,196.6,1329.93389999999,,215,237.12,984.251399999999,,-,-,-,,-,-,-,,-,-,-
pc_usb_d12,,99,106.47,33.094,,163,177.38,1540.874,,165,177.84,1308.5872,,194,211.96,982.794699999999,,-,-,-,,-,-,-,,-,-,-
pc_vmWare,,104,110.05,32.7421,,171,184.67,1570.4524,,171,185.23,1226.23689999999,,209,221.77,927.755699999999,,-,-,-,,-,-,-,,-,-,-
phycore,,98,103.9,31.7998,,156,169.01,1466.14659999999,,154,169.02,1445.1361,,181,203.78,950.2148,,-,-,-,,-,-,-,,-,-,-
phycore229x,,106,111.34,38.3496,,171,189.44,1731.5971,,172,189.46,1643.9974,,209,229.2,1136.86459999999,,-,-,-,,-,-,-,,-,-,-
picasso,,101,107.09,31.4118,,164,181.25,1462.0803,,163,181.74,1235.79299999999,,200,217.65,895.873399999999,,-,-,-,,-,-,-,,-,-,-
pid,,97,101.72,29.1226,,159,172.54,1382.7368,,159,172.84,1289.7268,,187,207.44,867.955499999999,,-,-,-,,-,-,-,,-,-,-
prpmc1100,,96,101.06,28.4202999999999,,150,166.02,1425.66739999999,,150,166.51,1283.18809999999,,179,199.66,844.128599999999,,-,-,-,,-,-,-,,-,-,-
psim,,93,99.88,26.3127,,142,154.44,1200.8605,,142,154.6,1121.6796,,171,187.49,740.3088,,159,176.58,3551.21044444444,,-,-,-,,-,-,-
rattler,,112,116.08,37.5798,,169,186.38,1736.6341,,171,186.48,1462.679,,208,225.62,1085.28789999999,,-,-,-,,-,-,-,,-,-,-
ref4955,,95,102.02,28.9129,,154,168.99,1548.7459,,155,169.17,1211.8798,,185,202.64,827.627399999999,,-,-,-,,-,-,-,,-,-,-
refidt334,,108,114.6,34.4746,,173,192.91,1540.53259999999,,173,193.23,1324.8235,,217,234.44,985.2886,,-,-,-,,-,-,-,,-,-,-
sa1100mm,,95,101.83,29.1364,,152,166.79,1424.5496,,149,166.96,1328.83189999999,,175,200.36,861.8325,,-,-,-,,-,-,-,,-,-,-
sam7ex256,,105,110.38,36.8667999999999,,170,186.79,1627.84919999999,,170,187.13,1426.22889999999,,207,224.13,1097.3643,,-,-,-,,-,-,-,,-,-,-
se7751,,113,118.08,36.9428999999999,,182,198.69,1704.4254,,181,198.72,1396.6119,,213,238.97,1028.2299,,-,-,-,,-,-,-,,-,-,-
sh4_202_md,,110,115.81,34.2692,,173,186.61,1693.2799,,174,186.96,1247.20349999999,,202,225.17,934.429299999999,,-,-,-,,-,-,-,,-,-,-
sh7708,,117,124.57,36.1666,,185,207.21,1924.28229999999,,186,207.37,2659.14,,226,243.81,1359.4282,,-,-,-,,-,-,-,,-,-,-
skmb91302,,96,101.83,28.7649,,151,162.13,1400.3256,,151,162.36,1113.7446,,178,196.28,794.4249,,-,-,-,,-,-,-,,-,-,-
sleb,,95,99.72,26.6597999999999,,144,158.2,1220.40089999999,,144,158.41,1144.97749999999,,169,190.88,755.639399999999,,162,177.27,3567.04576923076,,-,-,-,,-,-,-
smdk2410,,121,128.43,38.4796,,199,211.91,2422.6082,,199,212.14,3093.2485,,227,252.57,1668.14849999999,,-,-,-,,-,-,-,,-,-,-
snds,,99,105.45,29.8244999999999,,163,174.13,1488.5294,,162,174.34,1253.20929999999,,188,210.42,835.2171,,-,-,-,,-,-,-,,-,-,-
sparc_erc32,,94,99.07,25.7918,,141,154.3,1208.2803,,140,154.21,1156.203,,168,186.2,702.3815,,159,175.36,3457.14989795918,,-,-,-,,-,-,-
sparc_leon,,94,99.04,25.7375,,142,154.59,1292.2347,,140,155.02,1032.6452,,165,186.52,701.5089,,160,181.98,3507.98477777777,,-,-,-,,-,-,-
sparclite_sim,,94,99.31,25.8405,,136,155.33,1136.664,,140,155.65,1135.2555,,163,187.4,721.221299999999,,159,176.89,3422.47323232323,,-,-,-,,-,-,-
stb,,98,104.22,30.8308,,155,173.3,1534.7497,,153,173.06,1307.86369999999,,191,209.56,894.9598,,-,-,-,,-,-,-,,-,-,-
stdeval1,,97,103.25,27.7632,,156,171.44,1356.7776,,155,171.87,1136.3834,,181,205.5,775.140699999999,,180,204.58,3575.55894736842,,-,-,-,,-,-,-
stm3210e_eval,,97,102.73,31.4514999999999,,154,171.98,1494.2135,,154,172.29,1304.4645,,182,206.09,928.374099999999,,-,-,-,,-,-,-,,-,-,-
toybox,,15,16.39,0.912099999999999,,16,18.23,10.0948,,16,18.23,10.0589,,16,18.23,10.1461,,15,16.33,1130.6208,,-,-,-,,17,17,28.1606
ts1000,,102,108.26,34.6037,,161,177.88,1680.61939999999,,157,178.03,1393.2665,,195,215.16,1009.35689999999,,-,-,-,,-,-,-,,-,-,-
ts6,,102,107.96,31.5189999999999,,161,179.05,1418.0865,,163,179.36,1288.6825,,195,218.24,897.086,,-,-,-,,-,-,-,,-,-,-
tx39_sim,,95,99.4,26.2699,,141,154.25,1231.737,,140,154.55,1147.92069999999,,171,187.26,735.440799999999,,159,174.08,3534.29297619047,,-,-,-,,-,-,-
uClinux-config,,63,66.45,1498.42409999999,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-
uClinux,,21,21.84,13.6341,,21,23.23,281.149699999999,,21,23.23,257.2205,,21,23.23,260.5005,,-,-,-,,-,-,-,,20,20,65.3427
uE250,,101,106.8,31.3768999999999,,161,175.54,1501.2596,,163,175.83,1434.2526,,194,212.46,927.657399999999,,-,-,-,,-,-,-,,-,-,-
vads,,102,108.57,31.5084999999999,,166,180.05,1464.23639999999,,168,180.52,1212.55089999999,,198,218.32,900.1577,,-,-,-,,-,-,-,,-,-,-
viper,,102,108.53,34.7095,,169,182.3,1534.43109999999,,169,182.68,1427.4025,,200,219.64,1024.3371,,-,-,-,,-,-,-,,-,-,-
vrc4373,,97,103.25,30.4528,,144,163.41,1289.74139999999,,144,163.75,1166.03319999999,,183,197.26,868.3097,,-,-,-,,-,-,-,,-,-,-
vrc4375,,102,109.78,33.0607,,164,179.55,1436.928,,163,179.76,1259.61709999999,,193,217.42,930.4357,,-,-,-,,-,-,-,,-,-,-
XSEngine,,102,107.95,32.4992,,159,177.14,1537.3938,,161,177.3,1389.5742,,191,214.61,926.4923,,-,-,-,,-,-,-,,-,-,-
